SYMBOL,Z,N,A,EPorc,MAE,MSE
Lu,71,84,155,0.87858869228597,0.06994322812143494,0.004892055160047088
Lu,71,85,156,0.9864076064243101,0.07866162951112088,0.006187651957344843
Lu,71,86,157,0.7067274196798092,0.05652874637677918,0.0031954991669302254
Lu,71,87,158,0.7053507372437956,0.05648964448085714,0.003191079933573633
Lu,71,88,159,0.44241590026253125,0.035522060859754845,0.0012618168077241272
Lu,71,89,160,0.4834620476937438,0.038850078817992184,0.001509328624164205
Lu,71,90,161,0.2651977163513134,0.02135560954801896,0.0004560620591674386
Lu,71,91,162,0.3453311008454178,0.027820826880043725,0.0007739984082893635
Lu,71,92,163,0.16810043202669142,0.013565608850068855,0.00018402574347306646
Lu,71,93,164,0.284286634579989,0.022943619252691505,0.0005264096644124762
Lu,71,94,165,0.14483706274418112,0.01170463270577038,0.00013699842677698964
Lu,71,95,166,0.294466167505456,0.023790464747634132,0.0005659862129084224
Lu,71,96,167,0.19003972671860914,0.015368544960828956,0.0002361921742130211
Lu,71,97,168,0.3707648742910889,0.029966858638790228,0.0008980126166772365
Lu,71,98,169,0.298889265321532,0.024173117560401636,0.0005843396125889979
Lu,71,99,170,0.5024676970712568,0.04060308686678482,0.001648610663111674
Lu,71,100,171,0.39673245465005463,0.03206984615199282,0.0010284750322124888
Lu,71,101,172,0.5261875213417279,0.0424865133616219,0.0018051038176272764
Lu,71,102,173,0.4487379285079122,0.0362350510569609,0.0013129789251005632
Lu,71,103,174,0.5958898380813472,0.04805118592887325,0.0023089164691711466
Lu,71,104,175,0.5417325141369588,0.04367509849743634,0.0019075142287607659
Lu,71,105,176,0.7114361205016368,0.057264393728006624,0.0032792107890361644
Lu,71,106,177,0.6820823769155704,0.05487683524592235,0.0030114670466081057
Lu,71,107,178,0.874296780017529,0.07021260562765086,0.004929809989024029
Lu,71,108,179,0.868207815656339,0.06967591367633119,0.004854732946631556
Lu,71,109,180,0.9683197913175221,0.07755180725957622,0.006014282809226459
Lu,71,110,181,0.8838332161043384,0.07072152673084453,0.005001534343141558
Lu,71,112,183,0.8504084902439846,0.06782001191735443,0.004599554016470097
Hf,72,84,156,0.8465438090765557,0.06700501709881568,0.004489672316412581
Hf,72,86,158,0.8083145542141549,0.06432128166200446,0.004137227274642911
Hf,72,87,159,0.7780376987260594,0.062008032637127286,0.0038449961115270426
Hf,72,88,160,0.48682736870088283,0.038908728286270566,0.0015138891368548313
