EL,N,Z,A,BEA
Kr,36,36,72,8.4293193
Kr,37,36,73,8.4601847
Kr,38,36,74,8.533039
Kr,39,36,75,8.5534399
Kr,40,36,76,8.6088077
Kr,41,36,77,8.616837
Kr,42,36,78,8.6612385
Kr,43,36,79,8.657113
Kr,44,36,80,8.6929301
Kr,45,36,81,8.6828206
Kr,46,36,82,8.7106754
Kr,47,36,83,8.6957295
Kr,48,36,84,8.7174473
Kr,49,36,85,8.6985633
Kr,50,36,86,8.7120295
Kr,51,36,87,8.675284
Kr,52,36,88,8.6568499
Kr,53,36,89,8.6148158
Kr,54,36,90,8.5912599
Kr,55,36,91,8.5417519
Kr,56,36,92,8.512675
Kr,57,36,93,8.4581085
Kr,58,36,94,8.4243318
Kr,59,36,95,8.3659963
Kr,60,36,96,8.3308721
Kr,61,36,97,8.2698645
Rb,36,37,73,8.3050821
Rb,37,37,74,8.3817123
Rb,38,37,75,8.4482762
Rb,39,37,76,8.4862161
Rb,40,37,77,8.5373396
Rb,41,37,78,8.5583512
Rb,42,37,79,8.6011401
Rb,43,37,80,8.611676
Rb,44,37,81,8.6455139
Rb,45,37,82,8.6474275
Rb,46,37,83,8.6752193
Rb,47,37,84,8.6762244
Rb,48,37,85,8.6974416
Rb,49,37,86,8.6969014
Rb,50,37,87,8.7109843
Rb,51,37,88,8.6811154
Rb,52,37,89,8.6641895
Rb,53,37,90,8.6315262
Rb,54,37,91,8.6075621
Rb,55,37,92,8.5694225
Rb,56,37,93,8.5409209
Rb,57,37,94,8.4927644
Rb,58,37,95,8.4601967
Rb,59,37,96,8.4088963
Rb,60,37,97,8.3761872
Rb,61,37,98,8.3307294
Rb,62,37,99,8.295301
Rb,63,37,100,8.2445085
Rb,64,37,101,8.2061753
Rb,65,37,102,8.1527443
Sr,37,38,75,8.2965116
Sr,38,38,76,8.3939294
Sr,39,38,77,8.4359188
Sr,40,38,78,8.5000971
Sr,41,38,79,8.5238558
Sr,42,38,80,8.5785966
Sr,43,38,81,8.5873545
Sr,44,38,82,8.635719
Sr,45,38,83,8.6384076
Sr,46,38,84,8.6775132
Sr,47,38,85,8.6757193
Sr,48,38,86,8.7084566
Sr,49,38,87,8.7052363
Sr,50,38,88,8.7325958
Sr,51,38,89,8.705923
Sr,52,38,90,8.6960043
Sr,53,38,91,8.6638759
Sr,54,38,92,8.648907
Sr,55,38,93,8.6127875
Sr,56,38,94,8.5938344
Sr,57,38,95,8.5490875
Sr,58,38,96,8.5212041
Sr,59,38,97,8.4718489
Sr,60,38,98,8.4457385
Sr,61,38,99,8.4025235
Sr,62,38,100,8.3722012
Sr,63,38,101,8.3247411
Sr,64,38,102,8.2912213
Y,40,39,79,8.4167788
Y,41,39,80,8.4542759
Y,42,39,81,8.5059031
Y,43,39,82,8.5292762
Y,44,39,83,8.5736571
Y,45,39,84,8.5877812
Y,46,39,85,8.6281486
Y,47,39,86,8.6384293
Y,48,39,87,8.6748451
Y,49,39,88,8.6825396
Y,50,39,89,8.714011
Y,51,39,90,8.6933778
Y,52,39,91,8.6849421
Y,53,39,92,8.6615894
Y,54,39,93,8.6489054
Y,55,39,94,8.6228068
Y,56,39,95,8.6049644
Y,57,39,96,8.5694269
Y,58,39,97,8.5414616
Y,59,39,98,8.4976162
Y,60,39,99,8.4766938
Y,61,39,100,8.4394151
Y,62,39,101,8.4133305
Y,63,39,102,8.3719172
Y,64,39,103,8.3426336
Zr,41,40,81,8.3951519
Zr,42,40,82,8.4654666
